Date,Price,Log_Returns
2010-01-04,5232.200195,NA
2010-01-05,5277.899902,0.869639578
2010-01-06,5281.799805,0.073863891
2010-01-07,5263.100098,-0.354668642
2010-01-08,5244.75,-0.349264905
2010-01-11,5249.399902,0.088618948
2010-01-12,5210.399902,-0.745715625
2010-01-13,5233.950195,0.450967895
2010-01-14,5259.899902,0.494570814
2010-01-15,5252.200195,-0.146492296
2010-01-18,5274.850098,0.430318782
2010-01-19,5225.649902,-0.937108811
2010-01-20,5221.700195,-0.075611656
2010-01-21,5094.149902,-2.473025342
2010-01-22,5036,-1.148068718
2010-01-25,5007.899902,-0.559547014
2010-01-27,4853.100098,-3.13989499
2010-01-28,4867.25,0.291139973
2010-01-29,4882.049805,0.303607774
2010-02-01,4899.700195,0.3608845
2010-02-02,4830.100098,-1.430682701
2010-02-03,4931.850098,2.084699941
2010-02-04,4845.350098,-1.769468871
2010-02-05,4718.649902,-2.649678127
2010-02-08,4760.399902,0.880895677
2010-02-09,4792.649902,0.675179616
2010-02-10,4757.200195,-0.742417305
2010-02-11,4826.850098,1.45348003
2010-02-15,4801.950195,-0.517197514
2010-02-16,4855.75,1.114144364
2010-02-17,4914,1.192470437
2010-02-18,4887.75,-0.53561992
2010-02-19,4844.899902,-0.880548976
2010-02-22,4856.399902,0.237081744
2010-02-23,4870.049805,0.28067613
2010-02-24,4858.600098,-0.235381321
2010-02-25,4859.75,0.023664559
2010-02-26,4922.299805,1.278886501
2010-03-02,5017,1.905628424
2010-03-03,5088.100098,1.407235362
2010-03-04,5080.25,-0.154402615
2010-03-05,5088.700195,0.166196059
2010-03-08,5124,0.691295046
2010-03-09,5101.5,-0.44007699
2010-03-10,5116.25,0.288713469
2010-03-11,5133.399902,0.334643983
2010-03-12,5137,0.070106283
2010-03-15,5128.899902,-0.157805929
2010-03-16,5198.100098,1.340200079
2010-03-17,5231.899902,0.648128917
2010-03-18,5245.899902,0.267231835
2010-03-19,5262.799805,0.321636689
2010-03-22,5205.200195,-1.100500395
2010-03-23,5225.299805,0.385401165
2010-03-25,5260.399902,0.669487583
2010-03-26,5282,0.409776295
2010-03-29,5302.850098,0.393961642
2010-03-30,5262.450195,-0.76476954
2010-03-31,5249.100098,-0.254008295
2010-04-01,5290.5,0.785610742
2010-04-05,5368.399902,1.461713499
2010-04-06,5366,-0.044714235
2010-04-07,5374.649902,0.161068544
2010-04-08,5304.450195,-1.314730971
2010-04-09,5361.75,1.07442866
2010-04-12,5339.700195,-0.412090614
2010-04-13,5322.950195,-0.314181056
2010-04-15,5273.600098,-0.931443783
2010-04-16,5262.600098,-0.208804005
2010-04-19,5203.649902,-1.12649361
2010-04-20,5230.100098,0.507013336
2010-04-21,5244.899902,0.282574025
2010-04-22,5269.350098,0.465087655
2010-04-23,5304.100098,0.657309099
2010-04-26,5322.450195,0.345363554
2010-04-27,5308.350098,-0.265268946
2010-04-28,5215.450195,-1.765565917
2010-04-29,5254.149902,0.739281022
2010-04-30,5278,0.452901614
2010-05-03,5222.75,-1.052315498
2010-05-04,5148.5,-1.431867298
2010-05-05,5124.899902,-0.459441653
2010-05-06,5090.850098,-0.666616367
2010-05-07,5018.049805,-1.440345681
2010-05-10,5193.600098,3.438574404
2010-05-11,5136.149902,-1.112336459
2010-05-12,5156.649902,0.398337236
2010-05-13,5178.899902,0.430553474
2010-05-14,5093.5,-1.66274426
2010-05-17,5059.899902,-0.661851609
2010-05-18,5066.200195,0.124436727
2010-05-19,4919.649902,-2.935369832
2010-05-20,4947.600098,0.566526034
2010-05-21,4931.149902,-0.333042349
2010-05-24,4943.950195,0.259243957
2010-05-25,4806.75,-2.814346627
2010-05-26,4917.399902,2.275873561
2010-05-27,5003.100098,1.727782415
2010-05-28,5066.549805,1.260233422
2010-05-31,5086.299805,0.389053826
2010-06-01,4970.200195,-2.309049227
2010-06-02,5019.850098,0.993995219
2010-06-03,5110.5,1.789717455
2010-06-04,5135.5,0.487996284
2010-06-07,5034,-1.996231291
2010-06-08,4987.100098,-0.936029863
2010-06-09,5000.299805,0.264327349
2010-06-10,5078.600098,1.553778071
2010-06-11,5119.350098,0.799184466
2010-06-14,5197.700195,1.518876068
2010-06-15,5222.350098,0.473125323
2010-06-16,5233.350098,0.21041162
2010-06-17,5274.850098,0.78986344
2010-06-18,5262.600098,-0.232504169
2010-06-21,5353.299805,1.708793694
2010-06-22,5316.549805,-0.688859668
2010-06-23,5323.149902,0.124065503
